,architecture,area and gender studies,business,communication and information sciences,education,fine and performing arts,history,interdisciplinary,language and literature,law and legal studies,philosophy and religious studies,social sciences,agriculture,behavioural sciences,biological sciences,ecosystem sciences,engineering,environmental sciences,geosciences,health and medical sciences,mathematical and physical sciences
golf management,11.064955839280021,10.145087286012524,9.127777229750242,10.015999782650969,10.764201229919184,10.086973838375222,10.528376867091756,10.27981972156325,10.38490557197375,10.653851472023872,10.714134262440917,10.387988025995922,10.340941190504351,10.39337041181811,10.72932444289095,10.314454657757343,10.358137595497638,10.536401596631979,10.325004349122183,10.095674219837258,10.068281388307296
interactive computing,9.304640967169407,10.243007127004287,9.865892102966548,8.429587011637148,9.836424514657677,10.573831573190835,10.797724022651973,8.44512231810817,10.01114716931076,11.540076004221994,10.79935058180482,9.354154286725183,10.97891111090833,9.232055153450283,9.752165839688498,10.495834516671048,8.715981461469605,10.306579510943765,10.189279236111872,9.538914362632708,9.371881151097323
computing level 4,9.411901215164837,9.480855899003332,9.856306184293668,8.881917107259945,9.863759307366127,10.786611462367249,11.124033665527884,9.411682156497118,10.358718027036854,11.075835677859079,10.63317924598499,9.623525851800263,10.866030464696802,9.76456103763426,10.313135256360212,10.671594484697964,9.527781608341735,10.303708002038285,9.826672082133094,9.35537014630177,9.276164095656164
russian and comparative literature,10.215584718969847,8.374588570572683,9.830441332226997,9.010891388809988,10.00682355380642,9.109063099229644,8.029021203212926,8.745744084031639,6.228333864517685,9.317348507627807,7.6818512171549065,9.089023327693917,10.90773793822502,9.681962144978499,9.415296489119534,10.579728864846285,10.041803507678257,10.09327914762498,9.380985818277606,8.548592033398164,9.053559484085445
social media,10.899177959545165,9.421425584539305,10.076529858865818,8.734872765532455,10.474488529626395,9.849167915909327,10.030681189553368,9.442947922721833,8.893664565213339,10.647539239362308,9.94751325413805,7.870423034284217,11.772244186260904,10.102602090392582,10.127536272096862,10.854845344109249,10.524671497915346,10.334136484854806,10.305868234020894,9.37070488743554,10.252389918286593
linguistics and social anthropology,10.305605521913867,8.418506401965871,9.837979166405324,8.7312419490677,9.676472876869825,9.193950958475794,8.655737664821956,8.972890024325183,6.671912567441682,9.966819088425806,8.51865457783846,7.907762702479519,10.262232932811878,9.326457322291166,9.857006794310319,9.964075019377141,9.713583223667275,9.806063561625933,8.976978030031606,9.478268046128285,9.432128868149158
computer security and networks,9.618212922739604,10.474468894706314,10.149637839583512,8.564652797434507,10.518642682667807,11.327923151997279,10.501613916380387,10.050318702324054,10.302884047184643,10.30439063483669,10.398547529533225,9.62050302312197,11.292261339272425,10.210604465013386,10.31126968124217,10.516816695960486,9.76745683154553,10.491752524364365,10.006966310083353,9.711131202928208,10.095382117150345
history and sport & physical education,10.508679683497942,8.792197253133953,9.969663554914328,9.002913177113857,7.630856500897571,8.636074226825793,8.305559298306047,9.248785573082243,8.955892583199308,9.383228548677588,9.377255276178806,8.794643979529706,10.441101573937468,9.302664039332466,9.33329360654376,9.883363441421075,9.305518891533978,9.237437220640423,9.261583667622617,8.122817178817588,8.137654962774961
film and visual culture and sociology,9.847335814029117,8.530992255868675,9.7861875276491,9.296810234960128,9.790592934565534,8.229662344715315,9.103627642760092,9.037750066359058,8.126515627357708,9.165911026277257,9.101355363443567,8.835296294626682,10.97085580632915,9.606580544218966,10.156165327956927,10.46386680434686,9.68726070595493,9.771530405319181,9.44112617266558,9.5744595337664,9.278191766331238
bible and theology,9.817534887552691,9.522044121903308,10.076208231600205,9.844359549921137,10.028196136444247,9.495011579717275,8.827777082398605,9.768112178472588,7.699918525009376,8.888295293641379,6.393635131553952,9.569157160789059,10.30151555862707,10.049478874750275,9.78039601449445,10.377687628158416,10.30544129774653,10.120574649162341,10.096864731506654,8.861741559785706,9.332207187271269
medieval history,10.293785736907282,9.943540905482873,10.568559704248313,10.50765438798656,10.966748048415354,9.839762221847426,5.901372312909988,10.85411616673651,8.381506474319266,10.126664984727448,8.681834819070422,10.173745429830257,10.724988568276437,11.280390140875411,10.961727390718448,11.42486669593699,10.986891265893258,10.902772121723011,10.575727421199355,10.412996756998416,10.242772348861513
chemical engineering and biotechnology,9.611668774771335,9.741617404845167,9.258923019563118,8.861518355143577,9.848124385532309,9.99567587105733,10.604226228361647,8.78703038912205,9.26525474659768,10.38063084161134,9.755002954232857,9.09941489137064,9.503601244082315,9.264459069536162,6.755031679865463,8.62008590168976,6.75070865347033,7.0010915563631055,9.613141622120864,8.03927710765163,8.316472266163888
applied coaching and analysis in football performance,10.211909938281801,9.122663231366687,9.629084345930252,9.00005780800395,9.524551850624388,9.53398170782416,9.99790343708892,9.922581754364458,9.41938415383425,10.828038619932691,10.036427239477645,9.66132646805661,10.229465226022329,8.869233098440539,9.892802508164825,10.27249998915172,8.789274350793775,9.983488685550022,9.741066278206636,9.489747026922887,9.207648026077662
medieval studies,9.680273613340336,8.962480743965395,10.191841950878118,9.740174693091321,9.944487155234931,8.840619699270098,6.772011998388637,9.654489667452125,7.421863975120528,9.269475430218474,7.413182173806739,9.12483425238027,10.429081956031286,10.216811414230948,10.016789808680233,10.715011068577907,10.131842526023574,9.947506138746151,9.673799284816925,9.476019392897648,9.236027531360733
italian and swedish,10.265513320825356,8.868051989651029,10.019540991715925,10.030699644346731,10.299141056976055,9.547736670819553,9.002895076644046,9.73827292412913,7.465254212756515,10.296922627619418,9.221287056509826,9.916780979310522,10.632807020449624,10.524149941962069,10.296369454007026,10.8416280667247,10.255347224160568,10.419511453035135,9.976965805187307,9.618764764269295,10.031112424246576
counselling and working,10.450346715609065,8.412462198200737,8.83224499134587,8.653934357142345,8.630377439512928,8.575505487195255,9.87005528216431,8.088304512581773,8.594728974813437,8.759078001869762,8.544375541035624,8.492205028284152,10.387571792668467,8.476077494214922,10.116729426471828,10.46245042823082,9.123053781763218,9.79540246234456,9.309503449134798,8.540188535855716,9.369268143058036
"business, accounting and finance",9.967830310968065,9.3259255120933,6.467862215810979,8.278007319376439,9.988655972488933,9.768818731298891,9.89794060418898,9.820713977256082,9.391993340259878,9.881385959602234,9.696374353840591,9.041698536336364,9.579376521091017,9.568405516087692,9.493635870110475,10.153229119269074,9.17087200201185,9.194766248211682,10.058428786859226,8.585097891639409,9.075202690423085
spanish and adventure tourism management,10.605880124190767,10.321709621674355,9.557140673839415,10.243879153030406,11.096169044636987,10.231954516416975,10.072534672839726,10.723916048166616,9.732552915242277,10.971210008917563,10.399782798456926,10.755171426675293,11.047587845713666,10.67556138448538,11.33398840579552,10.300217768561243,10.873641493386048,10.646978615132818,9.656533996816528,10.977732545370692,11.072291228920726
conservation biology and philosophy & ethics,10.293163521777847,9.41273232073017,10.305322506209226,9.403821155419026,10.34660728511213,9.916441566322549,9.324806468490232,9.494528708991597,9.218819895112997,9.571492591365788,8.133915367937211,8.711568557817047,9.741670839800559,8.651497680995151,8.067185397669558,7.83296053676473,9.562131220154777,7.413107833313081,8.799424974156338,9.065609913605657,8.879676023848884
history of art/mathematics,9.09796195626824,8.439564275281679,9.262081714016778,8.747073211807098,8.827532764390039,7.817104153820936,7.137889040881075,8.639903324327188,7.319943448990539,9.395842011252563,8.043325523458865,8.347422674798947,10.234915074985851,9.003351406087873,9.215525864453271,10.217395354824271,8.23335204978788,8.966235403880681,9.06307111213116,8.792676834350518,7.227210391148994
screenwriting,10.092949857512238,9.95114871255694,9.758802279304579,9.8781983010328,10.502229353384067,9.896055653775623,10.664657893937289,10.163796625734477,9.033330481766862,10.995183309063766,10.693986953555783,10.294427063480082,11.223928186243112,9.94786169920402,10.348510145438654,11.292017454496593,10.057161129043019,10.867539478660778,10.737595392498491,10.115010630286962,10.71696259883043
medieval and early modern history,10.127080422995185,9.381685952528333,10.42039219037158,10.143123482869028,10.725215984609548,9.467859208787889,5.842899514286866,10.693803789321457,8.062155044625298,9.984570012032064,8.646672692040474,9.883769988057983,10.613979292371985,10.88930787415502,10.754249022903027,11.174877976416388,10.627102728074162,10.632840041027142,9.977697424051625,9.985884051105899,9.816225917848103
ancient civilisations,9.76763962616086,9.095535732082322,10.166895547178816,9.811522740086232,10.418895143400983,9.590753727150883,6.99081575187043,10.190963464627382,8.384645690579239,9.877487357274434,8.918903868722602,9.27632515261231,10.046380666494048,10.587817778078639,10.481553820524754,10.261155958465235,10.219155896144894,9.954353840099648,8.567382089594986,10.09643977047885,10.095443589959771
portuguese/psychology,10.33260745750812,8.32400750426314,9.685537186961263,8.877330346842031,9.279059839698379,8.840265363015973,9.119674176173183,9.06288502979251,7.20008869264531,9.960979035250949,8.409135688757768,8.762458278032689,10.371883894776051,8.021939248223639,9.531615179993866,10.1793313008876,9.392022737757573,9.5725113120063,9.301250756281545,8.847874424625896,9.362016027991501
animal welfare and society,10.77575099171629,8.660614794393972,9.673167993185427,9.584844892651736,9.913045640176437,10.016286151943355,9.456550128061062,9.912760812936744,9.1621196684949,9.895604652604641,9.255923199363329,8.571810091764213,8.969971614333708,9.137124637452905,9.17302561960394,9.442632419510906,10.13196653502998,9.344064296584094,9.791430582643807,8.853858056733376,9.647292764740302
three modern languages,9.582768762063765,9.119957250923525,9.859754703878151,8.454942275925488,10.087995281239548,9.253811104863868,8.546126583818761,8.910733579810573,6.324406133362213,9.811969796806801,8.67550900447599,9.115166804109021,10.40074544048732,9.278036163991242,9.561298250015403,10.463955516138846,9.348118898265884,9.792018607910313,9.133899228778485,9.09535645844345,8.85708515023818
electronic & electrical engineering,9.059678325525768,9.90081358825042,9.822012003345398,7.927418415779584,9.826159806965343,9.697025525165321,10.831435921229719,9.277710985158,10.067733676798113,10.099359707172157,10.442517517920287,9.213852402244132,11.042198736169794,9.530948942837895,9.256801518997062,10.434227337473695,6.1478445961854895,8.395886290411935,9.794250403258813,9.327068300497697,8.124169391844283
accounting & finance and digital creativity,9.643150103354802,9.463617194816695,7.838819248086451,8.184973417765098,9.808496356646913,8.532639242444139,9.974680854491162,9.352327891904476,8.939161515289408,10.325020688555446,9.498848405131758,8.782596845710671,10.02198320390802,9.192175985528698,9.67818486787813,10.048161669190941,9.105392155589541,9.100900955727475,9.630390029202076,9.20719700715486,9.028537422877346
nutrition and social care,11.421080512979414,8.914558516996019,10.401897445616926,9.77982804411716,9.53081075812476,10.707975580272354,10.736858177335836,10.177526998838605,9.597474955364785,11.26981965192696,9.991757850522204,8.348008969269713,9.463980021684641,9.934599031947378,9.83525291760708,10.18068224782502,10.674000507227808,9.969694944525196,10.322766230371945,8.438416239757757,9.825396749438543
sociology and politics,10.22220485988641,8.381185365153161,9.289142445542893,8.86489997946447,9.595294576062807,9.668875259346896,8.541745253453344,8.69219280473521,8.327210604463534,9.158220980405671,8.00321882820489,7.41233864725935,10.239196780912621,9.244833170383925,9.83217429017787,10.136504809671878,9.94864110274501,9.71580910771867,9.33719885249639,8.848558364197208,8.965404373519984
film & visual culture and philosophy & ethics,9.576867898507903,8.962503167495681,9.786581757097627,9.30670397189847,9.55697206644453,7.627141393773331,9.27332045204026,9.259859612518525,8.259463733243322,8.626413693599318,8.185708139809355,9.115675579148526,11.064201970157905,9.074199443392843,10.046546345176928,10.33556127838956,9.295148473237582,9.417593203749778,9.336108509229668,9.520653307523009,9.284310713184656
animal studies,10.24165212745761,8.204152966714911,10.094280866690244,8.863876173199554,9.666485983916644,9.590821605768065,9.185048335322074,9.239841925184813,8.42993899883105,10.075377751975598,8.847736921985076,8.540517077962248,9.22773722501265,8.653849404625534,7.074384273951591,8.36111909499106,9.070791369667344,8.513289360509866,9.213955268420813,8.260517649285813,8.5111882577103
art history and history,9.262688741617774,8.591050005324863,9.649458135950653,9.459810765981832,10.053770875821613,7.7459416280828135,5.786904241819131,9.811070761953001,7.639749032591014,9.715116908563477,8.520457034837355,9.275138013951125,10.669810899010562,10.211634427580627,10.017919637677336,10.207755725852845,9.427365666798403,9.47509956419122,9.544677680411455,9.377966588635216,9.438623831534738
sports coaching science,10.844570638204349,9.979523730704848,10.013934963142543,9.130733602473914,9.241562084987933,9.840179761659488,10.488943580803165,9.513501135808065,9.999936321955062,10.88038743730619,10.399246210423406,8.877717003541383,10.496285541649032,9.41687103291202,9.217486853568168,9.776381810040796,9.53515277308792,9.613405634808021,10.015374413288566,8.842706403246835,8.996041855888857
applied bioveterinary research,9.865419961194876,8.250972588476554,9.789574227071247,9.053367189995745,9.932001330322283,9.308741024295252,9.926127995916639,9.225852098851842,8.749773805326162,10.137835168197324,9.54582976279422,8.843436164559096,10.707432548309056,9.21407617115656,7.497145588349318,9.178421046180254,8.539002656060486,8.706306937592815,9.046419148263542,7.828354106106664,8.699607439667256
criminology: vulnerability and social care,9.767998171307935,7.751841090229684,9.446612224386454,8.705634382678515,8.55389268349951,9.250681404668637,9.257816209006545,8.346651350304077,8.571518023352128,8.404401456123994,8.681231065239052,7.6510216567844065,10.104404140867487,8.651625145589932,9.774544800182946,9.850900660171083,9.432854789601393,9.325456608780554,8.554845637331034,8.363770896062189,9.27412600988366
health and wellbeing in society,10.52538370860819,8.114998319692035,8.584680355409283,8.925315683420703,8.972166069971529,8.989315049032143,9.510597081191019,8.988676724678067,8.768529755523728,9.585495473986661,8.726472725791215,7.724714802360651,9.68582504379015,8.747213011777058,9.276805557034288,9.932459654077425,9.889053491083432,8.838458107434915,9.719926735107958,6.694378117547675,8.925315498339797
roots and popular music,11.06453243985471,9.545659137148666,10.352767287446234,10.048517706194653,11.387193664181412,8.805387401197803,10.017325771694502,10.503014501586799,8.413944059719478,10.259007890098667,9.82960716000657,10.181362272731842,11.029146094472283,10.43139032608729,10.571519871134488,10.543839264261479,11.126628428726749,10.371847676024064,10.210985082976103,10.252803552606277,10.350274393508222
cymraeg/mathematics,9.46942003486616,8.802988614791419,9.39692986684082,8.649777063866559,9.33954504697708,9.957750531200745,9.452633237012835,8.844920914681557,8.563554727592635,9.869959303888058,8.951864697597081,8.77435747452598,10.016352859758591,9.135948408765918,9.068293921354316,9.566208752499977,8.719157299799354,9.139862496046018,8.548801973229265,8.762641976181094,7.113486929308166
gaelic/french,11.051559589858723,9.874840955699218,10.833516537714857,10.427225398450139,10.672581031955485,9.884805245344323,9.707676509349389,10.671712661301466,7.488518838367884,10.550521153343134,9.490089554827682,10.12997427034676,11.031773715583592,10.710007203392763,10.35837524231435,11.290408266477412,10.599924081386815,10.978893574629106,10.592960589872044,10.135992717871401,9.919102161839186
criminology and film & visual culture,9.173351706353003,8.098921625272487,9.127849765345418,8.688191333570181,8.829858380128885,7.5846170277654075,8.797766070192191,8.388625274685891,7.856193415531316,8.466272397408884,8.874150475305738,8.50726509942505,10.365219479083896,8.992009202791479,9.283100662336091,9.590478191594013,8.49955231938908,8.770377433011731,8.450233177039374,8.85415810317844,8.786230241562821
foundation degree graphic design and illustration,8.387949878100683,9.019853537897127,9.658182056652867,9.480451043452142,8.902944254015551,9.33499609938855,10.46996157512666,8.942801239180605,9.69937707155916,10.048596403659182,9.334959375163226,9.263241839237711,11.354658852197703,9.46907453502586,10.24518872817611,9.918131977782908,8.386682508497696,9.422111509344964,8.95520109333444,9.324495048372695,8.817571874823026
music artist development,10.67062400584428,9.457025303830589,10.120324479606017,9.855929880600225,10.25776090463217,7.882794106093955,10.960254230838292,10.235615077050749,9.027493407161009,10.730002890431006,10.148660998636984,10.292257741992866,11.715954488928663,9.817727768795233,10.59786808778969,10.610755626304092,9.936218088542343,10.322081959954073,10.456744955967416,10.085781716687098,10.411267226541307
bakery and patisserie technology,9.945437530240417,9.97619345586423,8.831974268980579,9.651037231586827,10.547709317236523,9.56121643127704,10.349035207839082,9.952717383818358,9.36833417425018,11.196117502945507,9.750702615381782,9.684096552037083,10.006233662189839,9.755282195872134,9.246198584185061,10.0337216622026,9.876739960528404,9.660038070462559,10.275119471028036,9.112484799439297,9.437984559149049
classical archaeology and classical civilisation,9.321413140508813,9.432033282649112,10.526990906327232,10.439664320720485,10.778476622572635,9.834140290112973,7.310482879184702,10.171523484549363,8.618172858634432,10.040199634986227,9.122899324341583,9.565027555209353,10.593454577286355,10.613494658374991,10.549226667409524,10.23191386874614,10.111877332597865,10.297676508611888,8.822015720992438,10.390126900085658,9.88484705596977
social anthropology and spanish,10.343059348999786,8.496526464815865,10.350816876189946,9.825738368959806,10.238367124234557,9.511653148270096,8.8423273474969,9.689296683631447,7.480034983040246,10.183877312220481,8.923199429673318,8.351597869684543,10.488511629154239,9.831452163586437,10.472786693167969,10.089480862310964,10.535831690030383,10.32934094741605,9.37782701648246,10.082048406071989,10.32211604852918
film & screen arts,9.37214737889789,8.47096425394343,9.669128982381274,8.84428061457241,9.291081665017083,6.741762806944073,9.8643482035583,8.518100322761477,8.004405553620867,9.555114201704315,9.564051157490134,8.720630464256535,10.843488056640714,9.294280489997858,9.40623500962026,10.402894760997187,8.89572945010721,9.34336228192999,10.010388131745325,8.73048229595684,9.252236841063672
romanian and swedish,10.567328164736644,9.164024011477798,10.136283653482167,9.754298522259123,10.55145321846946,10.164346132727145,9.016596319548121,9.883562392200647,7.932922592926305,10.210774760639683,9.577572312467556,9.634580254520175,10.794344370088746,10.52509013866252,10.309125654919391,10.960512051355716,10.562762476790278,10.311882063072979,9.996755344396265,9.530199185041784,10.021925956312172
law and politics and international relations,10.735425318878857,9.088985038017638,9.389477917518063,8.805544962834968,10.079041074146591,9.968564290793989,8.55768217973807,9.676641673316759,8.378130978582789,6.978706082792273,9.014938058610186,9.039363597177097,10.692732068690917,10.222570258288304,10.664646447173654,10.650325565263302,10.254311933022423,10.145116864216691,9.081859693642233,9.219773702957909,9.453363915952561
politics and history,9.718609039834657,8.82576633847905,9.276203319251591,8.735060673582911,9.639742809707576,9.279151523781145,5.738286073629802,9.36966659221419,7.650856499953625,8.947135861063607,7.963668448830505,8.690403961780921,10.285617022228168,9.84714940610819,10.100804207999149,10.189984910868512,9.92364804357727,9.985943329463433,8.850165101734277,9.095529339804909,9.48527591204235
digital creativity and law,9.796001340581912,9.419753806601111,8.779889776653945,8.32032734128394,9.82619617233001,8.091301388675877,9.56354978242962,8.841006882501672,8.476244573515583,8.573150790929377,9.324199495221595,8.5494789571436,10.854938388458496,8.752863404166714,9.726579732530633,10.360268424075706,9.125943214528798,9.17442128768885,9.23748623431692,9.500451643089159,8.48275031587929
business studies and film & media,9.984960292752842,8.150516789362115,7.20580451992375,7.766869409532424,9.286790747733967,7.785040853045612,9.16984774093346,8.481183257572411,7.948147990256353,7.7946159429584885,8.659921733647638,8.456040561110203,10.515787444506495,8.935848852183263,9.187347468419587,10.09531841363111,9.010385392803471,8.922412889558444,9.082610258305813,8.09361585701798,8.72611055093225
historic building conservation,8.285559396144826,9.748006733150929,10.266819983605068,10.207917092269744,11.292413478470639,10.344894512313601,8.32805820463842,10.488969464870095,10.167448844910494,10.542907618623946,9.847873284050642,10.239797371349766,11.326269420077171,11.156317017309693,10.885198411317281,10.156628986758037,10.127498447733855,9.4438824210686,9.308545216558738,10.837420474791994,10.244389276693347
classical studies and modern languages,9.241621754992696,8.4224867858541,9.611803535648356,8.242221413659957,9.463019841524988,8.912594329973412,8.07701295569026,8.719554821150659,5.675740460446213,8.769417324851288,7.626774564992437,8.560537566153238,10.253941873518947,8.785678565959728,8.962737784569551,9.892120574464474,8.787154459356769,9.212537005937063,8.640072303399341,8.395604904632151,7.967773973566802
contemporary relational counselling,10.686157274022657,8.944210982996736,9.649283794432689,8.599884648675244,9.492578816835428,9.311683935664274,9.924842794129802,7.833861998447887,8.5807896015494,9.187254777880735,8.605937926940266,8.537919222383431,11.296424318783599,8.867648295854632,10.329506857605658,10.723571808661239,10.055067231046706,10.49447885003834,9.512066379391433,9.250349739465188,9.617451084872458
foundation to health and veterinary studies,10.543779928526696,8.528108178817778,9.456954680948506,9.01247677401107,9.569910528730052,9.326892757421263,9.30653912936693,9.194935027101314,8.523080528589599,9.385764630247245,8.383280588975165,8.696169784120778,9.487130847273916,8.888293406919757,7.6208803006018995,9.148607788454077,9.226611591550254,8.579350869228064,9.392708964472167,6.5562274027059955,8.531131659781128
german and business studies,9.936755963694115,8.609582376295084,7.409916559183337,9.032649923838417,9.923413188949027,9.085123067442522,9.03497829583445,8.614155191949466,8.175268270199007,8.921262008159133,8.747670436495476,8.824161829275402,10.336758683836717,9.380990198846584,9.546765321514128,10.298998426858327,9.302911901241181,9.159066072542705,10.145860437790294,8.534488755609871,9.131179318190368
english literature & media communications,10.314610520132595,8.815594582931368,9.273168689787392,6.881739303978994,9.337323031876345,8.20175091394298,8.918916746571497,8.75857889833145,6.175976377642589,9.2253754247213,8.663155620289851,8.336675891321638,10.883829035564867,9.312552327551451,9.172939671050958,10.330456767062362,9.661497385664433,9.52485738955634,9.23286029771009,8.44703400921184,9.183856716570261
film tv radio & media production,10.627986867852723,9.48022504197044,9.849185242333668,8.202790652262234,10.198079118074604,8.898303901900755,10.440377496124482,9.335756184669568,8.571585958860522,9.922624509708696,10.32893515990475,9.267443343003267,11.059041530383537,9.793053927917768,9.83585121886476,10.83307975857783,9.628598145671507,9.93660780572769,9.956211124414981,8.964778888488965,9.740838605265697
american literature and creative writing,10.41171779795541,8.773278680555721,10.028535875404465,9.2939558406668,9.703182000505866,7.420724919834093,9.104445381856255,9.255201267135025,6.734068128339047,9.462818692333986,9.13747101441338,9.237316604805992,11.089376408648137,10.028890602411252,9.905462268562353,10.453451710674809,9.996382884643284,9.964086188951343,9.481993500340346,9.344141924733467,9.520702559105061
early years services,9.929976764285717,8.60248784244408,8.511121841056568,8.663632012919857,8.935314075629243,9.767028734239428,8.193877770178485,9.201631191953442,8.814012383566812,9.505787664198621,9.544061756461742,8.686015466210973,10.086035860448519,9.356541191738945,10.225951029876624,10.153347332042085,9.741909063807286,9.87486510837295,9.106489447566757,8.629131406732489,9.73895607230332
business & management/italian,9.372427045729367,8.85450600943697,6.821806603192421,8.544607133464064,9.764097451503257,9.192334868312336,9.628557098197032,9.09529245607026,8.207764545793133,10.08561689682019,9.026738570822207,9.479111515342161,10.148143356700132,9.506767453000258,9.814704325834391,10.294012026214698,8.86422697765017,9.720607904195989,9.54424205925139,9.009857260074922,9.882896169211465
